continent,type,unit,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Africa,Production,quad Btu,17.390003622587,15.13666796923,15.577229821558,16.259107611008,17.715108965098,18.567935464119,18.617471976951,18.795294722725,19.888580878419,20.777314558705,21.822800621119,22.688860909952,22.888307410511,22.942619628978,23.068202198392,24.235060120258,24.839016286604,26.054595205864,26.286444161086,26.674441834677,27.695371625304,27.912240391506,28.08129560941,29.97181604453,31.963682366466,34.477399629821,35.410769629411,36.132326595565,36.850550430773,36.079755378128,37.119053716949,34.085295834247,36.258000814249,34.464653458347,33.852231573991,33.259572625134,32.261554467285
Asia & Oceania,Production,quad Btu,140.823574653236,136.352397285963,132.704078252286,134.975959889112,142.122713835553,146.006685080877,155.867786535763,161.449552413594,169.977500454039,175.774253930792,179.740579301192,174.272263592499,173.287632253214,173.352239470070,173.652237496826,176.737521210494,179.217066182860,181.026010704367,185.05937111472,186.161727911681,196.234439259812,200.367807012481,203.351284715252,218.05321584976,235.977712695369,250.780720678865,260.734808819357,268.950904410227,279.274926684705,280.911113179123,302.523779269483,318.008777214847,327.590697132229,333.89615530546,337.008608009954,342.265867266859,343.074257599161
Americas,Production,quad Btu,96.505404962366,97.182753516561,97.758126127921,95.601452288694,102.710927233028,102.266174891310,101.579075807481,102.824463008885,105.807596387007,106.821170301261,109.381374794348,110.641868747914,111.017927013590,110.934144757732,115.647370268846,117.602437686120,121.383746145711,123.488959410038,124.212652485702,122.779846425103,124.426923150495,125.445606678479,124.176350652086,124.043489148162,126.349255479720,126.846345571176,129.229662712961,129.793355368533,131.61192106366,130.554557333178,132.888093968631,138.36823239037,139.738539048316,143.342686127066,151.680605788198,152.085707585697,147.931872675295
Europe,Production,quad Btu,41.548276770486,42.502839145984,43.899988827886,45.965981177532,46.636353884097,49.613695221311,50.602857705239,51.242542752965,51.450832673708,50.561700227646,48.74722751557,46.746279548038,46.038359620081,46.663002870486,47.812254176408,49.197094625925,51.604545273486,51.19941549417,50.372684656998,50.280736564021,50.57119122099,51.308132272629,51.027414301157,50.305231103214,50.453644048551,48.875119937486,47.490551664565,46.40133886493,46.789642062528,45.173741329465,46.040010475784,44.349922604229,44.56012587105,44.231225801494,43.239911341748,43.187386825056,42.88542255938
Africa,Consumption,quad Btu,6.8077536933763,7.0037884323999,7.6123695922666,8.0125052043627,8.4143449769723,8.6377867153801,8.8028260110919,9.1272829678263,9.4512452108807,9.6415306791378,9.9411241591657,10.12505518218,10.196993163514,10.285608717167,10.513996610207,10.971237057888,11.337306353349,11.61779201075,11.812027241035,11.848055614875,12.32293314946,12.769287447192,13.136782039359,13.681573876542,14.144410480438,14.908773259228,15.183344629857,15.699368587481,16.37208732567,16.37032777276,17.173395839348,17.584485493171,18.389314180718,18.650291584274,19.410620922447,19.549542883631,19.963159505436
Asia & Oceania,Consumption,quad Btu,109.384365067063,110.593824967472,113.880763370165,117.446897143154,124.840240080182,129.908648643322,134.095619690099,139.209369261117,146.493182504138,148.154668826050,155.112650188511,150.683649751390,148.992170870184,149.0840812235,149.495864855026,154.146274487679,156.700986464495,156.256306824195,156.664202190814,162.555459550247,170.099530488964,174.2631404356,181.36618898566,193.387783204523,207.984960208404,220.809548714123,234.318011771833,245.287094919869,252.607369004642,257.193034479678,276.987916092504,293.613159452088,306.892429337404,314.043655496932,318.849171421881,322.014984612383,327.702348886887
Americas,Consumption,quad Btu,102.316925143636,100.869132135681,97.750079051804,97.375714991826,102.122269813410,102.823607009613,104.075210627250,107.123634838788,111.773484887909,114.557090816582,114.909143354202,115.545957916532,117.58743217250,120.544122495752,123.716183694609,126.391543090037,130.841230122174,132.381737243117,133.486735931908,135.783606524092,139.512771057873,136.947280599192,138.795578874534,140.153693439905,143.956409505156,145.12025200240,145.943780700419,148.497869260297,147.253080356836,141.860258764903,147.508749422116,148.386928948077,146.930251604364,150.762648718064,153.595175158119,152.745969981804,152.276547044901
Europe,Consumption,quad Btu,75.052571958588,72.819750302164,72.445177602237,72.728379193479,73.842454364691,76.401690415596,78.080766792523,79.607775241714,80.276944964493,80.404684687698,79.564237092332,76.601482895422,75.01088017868,74.902758584786,75.016173819408,77.25447537771,79.647112602359,79.469633996386,80.308541136793,79.995474324456,81.291115470902,82.831997730758,82.653487970205,83.968474646717,85.647246182854,86.10188653909,86.667832836264,86.000720033431,86.011492114298,81.385180202493,84.630594542931,82.367067480619,81.82877465169,81.468203978979,78.863088893398,79.917788546362,81.136996285358
