country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Portugal,1270,1320,1280,1320,1350,1370,1450,1470,1420,1540,1410,1380,1410,1400,1440,1330,1160,1640,1740,1810,1480,1250,1450,1600,1740,1940,1850,1950,2220,2490,3390,3400,2940,3280,3490,3320,3790,3750,3730,3370,3850,4100,3640,4340,3900,3610,4370,4650,4490,4890,5960
Qatar,,,,,,,,,,,,22000,25000,29500,26400,23700,26200,23400,25200,27500,26500,24200,21000,19600,25800,20800,22000,20500,22100,25500,26600,26800,29200,28700,28300,28700,29500,40200,46000,53200,59200,63100,67700,71900,87900,93100,102000,113000,133000,140000,
Romania,,,,,,,,,,,,42800,44400,46200,47500,50000,52100,54100,54000,51900,52600,54700,55200,55900,55700,54300,54000,52600,53500,49800,40800,36000,34500,33400,31700,32300,32800,31500,28800,27800,28300,27700,29100,29300,28400,27800,27900,27700,28900,28300,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290000,1220000,1140000,1060000,991000,968000,965000,933000,940000,962000,978000,1010000,1050000,1120000,1170000,1200000,1230000,1240000,1250000,1180000,
Saudi Arabia,,,,,,,,,,,,244000,308000,389000,435000,365000,444000,475000,437000,497000,534000,531000,361000,284000,264000,201000,286000,249000,298000,300000,370000,466000,480000,473000,464000,467000,472000,467000,482000,445000,479000,470000,440000,515000,553000,581000,576000,555000,579000,528000,
Senegal,,,,,,,,,,,,825,832,839,846,853,859,866,872,879,886,892,899,905,912,919,926,935,952,959,964,970,975,992,1010,1060,1090,1100,1120,1140,1190,1210,1260,1260,1260,1270,1230,1220,1230,1260,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13400,12100,11800,11400,10500,12200,12100,12500,12700,10500,11400,11100,11300,11400,11600,10300,10600,10600,10800,9440,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,15.1,22.7,24.1,33.7,28.2,26.8,46.1,34.4,24.7,32.3,28.9,
Slovak Republic,,,,,,,,,,,,2690,2660,2580,2590,2590,2540,2500,2630,2900,3470,3560,3740,3830,4040,4680,5150,5230,5300,5420,5280,4830,4480,4990,5480,5040,4980,4950,4990,5510,6330,6690,6820,6590,6450,6610,6620,5980,6420,5940,6140
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3070,3100,2950,2770,2890,2970,2880,3000,3050,2870,3100,3160,3340,3270,3460,3510,3440,3470,3670,3540,3550
South Africa,,,,,,,,,,,,37800,37900,40400,42800,45200,49000,54100,58700,66500,73200,80900,87200,91100,103000,110000,113000,112000,117000,115000,115000,117000,115000,123000,128000,135000,135000,143000,145000,145000,146000,145000,144000,153000,158000,158000,157000,159000,162000,161000,
South Korea,,,,,,,,,,,,6380,6200,6760,7640,8410,7810,8150,8710,9030,9270,9730,10000,11300,12700,14600,18400,21400,21500,21900,22600,22200,20400,20100,19300,21200,22500,23700,27100,30600,34400,34900,34800,37900,38300,42900,43700,42600,44700,44300,44600
Spain,9840,9950,9310,10000,9460,9850,10500,9780,10100,10400,9690,10500,11600,11400,13100,13400,12600,14500,14500,15700,15800,17700,19700,21900,25100,26500,28300,27900,30300,34600,34600,34300,33700,32900,32300,31500,32700,31700,32300,30700,31700,33500,31800,33000,32600,30100,31300,30300,30400,29700,33900
Sri Lanka,,,,,,,,,,,,2810,2810,2850,2890,3120,3160,3060,3140,3190,3210,3300,3420,3420,3730,3780,3920,3980,4100,4180,4190,4200,4330,4260,4000,4020,4200,4350,4320,4550,4750,4560,4540,4660,4770,4920,5160,5080,5070,5090,
Sudan,,,,,,,,,,,,5670,5790,5910,6040,6180,6360,6530,6720,6900,7090,7280,7480,7820,7850,8030,8200,8350,8500,8640,8780,8900,9030,9150,10300,10400,10800,11000,11400,14400,20200,22300,24400,25400,27000,27000,29100,34900,34100,35200,
Sweden,5480,5930,6110,6000,6490,6770,6590,6930,6870,6450,6490,7390,7890,9250,9010,11700,12400,13200,14900,14700,16100,19300,19100,20900,24300,26900,29100,29400,29900,29000,29700,31400,29500,29300,31300,31800,32000,32500,34000,33200,30500,33900,31800,30900,34300,34700,32800,33600,33200,30400,32600
Switzerland,2110,2200,2210,2320,2280,2530,2730,2900,2850,2770,3360,2910,3330,4280,4430,5100,4500,5380,5320,6250,7030,7640,7720,7800,8100,9410,9550,9820,9860,9360,10300,10400,10600,10900,11400,11200,10800,11300,11400,12100,12000,12600,12200,12300,12100,11000,12200,12700,12800,12800,12700
Syria,,,,,,,,,,,,5320,5890,5570,6480,9680,10200,9340,10200,8970,9500,9810,9350,9710,9850,9700,9920,13000,15200,19100,22300,26600,27700,28700,31100,33100,31800,32600,33700,33900,32700,33900,37100,36000,28400,26100,24800,23900,23800,23600,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030,1830,1660,1700,1540,1330,1350,1240,1270,1380,1260,1290,1360,1470,1490,1550,1520,1570,1490,1500,
Tanzania,,,,,,,,,,,,6870,6880,6910,6950,7020,7050,7080,7140,7200,7300,7450,7600,7770,7940,8130,8300,8480,8670,8860,9060,9260,9450,9670,9860,10100,10300,10400,11200,12100,12700,13400,13900,14400,15100,15800,16400,17000,17500,18100,
Thailand,,,,,,,,,,,,7890,7970,8160,8780,10100,10600,11000,10800,11700,11200,12100,13500,11200,13100,16600,17500,19400,21500,24300,26600,29600,30900,30200,31700,33200,37200,40000,39700,41500,44000,43200,45900,49200,51200,55000,56900,60000,64400,61700,
Togo,,,,,,,,,,,,614,629,643,652,668,683,706,725,732,751,772,797,817,844,873,902,950,978,1010,1050,1110,1170,1230,1280,1360,1420,1480,1550,1720,1770,1800,1850,1900,1940,2000,2040,2100,2140,2190,
Trinidad and Tobago,,,,,,,,,,,,8150,8750,9980,10900,12200,12200,13300,13700,13000,13100,12200,12200,11400,12400,12800,12500,12000,12400,12300,12600,12200,12400,11600,12300,12200,12900,12900,13900,16100,20000,20600,24000,31000,33000,36400,42800,43200,42700,44000,
Tunisia,,,,,,,,,,,,4650,4540,4540,4900,5400,4490,5130,5860,6520,6670,6480,6250,6670,6630,6550,6370,6120,6060,6110,5730,6360,6600,5730,5470,5330,5910,6350,6780,6730,6630,6640,6710,6450,6810,6680,6630,7900,7550,7810,
Turkey,9370,9480,9730,10200,10600,11200,12200,13200,13500,14000,14000,13800,15100,15500,15900,16300,16600,16900,17600,17400,17100,18100,19000,19300,20300,21900,23500,25000,24800,25600,25800,25600,26400,26200,26300,26500,27100,28000,29100,27500,25900,24400,24100,23600,24100,23900,26400,27300,29000,30300,30300
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74900,74100,48800,57400,32900,32800,32900,19800,18100,26300,46000,50400,52900,58600,57800,61100,60000,65800,68400,40900,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136000,119000,112000,100000,87400,81600,73700,74700,74600,75500,76400,76300,76800,79500,80200,81000,83000,81600,81300,76900,
United Arab Emirates,,,,,,,,,,,,52800,59800,76100,83300,84400,97000,101000,94600,95400,90200,82500,71000,66200,64300,63400,73200,80100,83700,101000,110000,127000,134000,131000,134000,137000,142000,147000,151000,143000,156000,152000,149000,163000,171000,174000,185000,186000,187000,169000,
United Kingdom,115000,113000,118000,118000,117000,115000,109000,109000,107000,102000,101000,110000,101000,109000,103000,115000,127000,155000,167000,193000,198000,207000,222000,233000,205000,238000,247000,242000,234000,209000,208000,215000,215000,223000,245000,258000,269000,268000,272000,282000,273000,262000,258000,247000,226000,205000,187000,177000,167000,159000,150000
United States,965000,973000,1010000,1060000,1100000,1140000,1200000,1300000,1340000,1370000,1450000,1440000,1470000,1460000,1430000,1410000,1420000,1450000,1470000,1530000,1550000,1550000,1530000,1470000,1590000,1570000,1560000,1590000,1620000,1620000,1650000,1640000,1650000,1600000,1660000,1660000,1680000,1680000,1690000,1670000,1670000,1690000,1660000,1630000,1650000,1630000,1650000,1670000,1700000,1690000,1740000
Uruguay,,,,,,,,,,,,520,493,538,525,521,537,580,595,566,766,838,910,1120,1130,1110,1240,1240,1020,900,1150,1090,1260,1190,1180,1010,980,1040,1230,920,1030,1210,1240,1160,853,1020,785,1230,1390,1520,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38600,39600,40800,42800,46100,48700,49100,51300,54400,55000,54900,55500,56200,56300,57100,56400,58500,59800,62000,60700,
Venezuela,,,,,,,,,,,,210000,192000,203000,182000,145000,143000,141000,137000,150000,140000,136000,126000,120000,123000,115000,123000,125000,130000,132000,149000,165000,166000,175000,182000,197000,223000,235000,232000,211000,221000,217000,203000,179000,218000,233000,234000,211000,208000,204000,
Vietnam,,,,,,,,,,,,14200,13900,14800,15700,16700,17200,17900,18100,18200,18400,19100,19600,19900,19500,20100,20800,21300,22300,23200,24700,26800,28800,30600,31800,34500,37700,40600,43900,45600,48100,50100,53200,54400,65200,69700,72500,73600,71400,76600,
Yemen,,,,,,,,,,,,48.7,50.1,50.1,51.6,53,54.5,55.9,57.3,58.7,60.2,61.6,63,64.5,65.9,68.8,427,1010,8050,9060,9380,10300,8930,11000,17000,17300,17500,18300,18600,19700,22000,22100,22200,21900,20600,20500,18700,16500,15300,15200,
Zambia,,,,,,,,,,,,2690,3050,3120,3360,3470,3610,3800,3800,3890,4030,4160,4350,4330,4450,4580,4700,4620,4800,4690,4920,5100,5050,5250,5260,5350,5350,5490,5640,5790,5930,6070,6220,6360,6440,6620,6790,6900,7030,7240,
Zimbabwe,,,,,,,,,,,,5100,5020,5280,5450,5360,5740,5620,5590,5740,5790,5690,5830,5950,6090,6440,6820,7640,7780,8000,8550,8980,9030,8620,8460,8380,8260,8060,8240,8720,8620,8610,8640,8600,8610,8860,8680,8630,8530,8530,
